,score
1_rgb_hist_hmrf.png,0.95
1_SWIR_hist_hmrf.png,1.0
2_rgb_hist_hmrf.png,0.9
2_SWIR_hist_hmrf.png,0.8
2_TIR_a_hist_hmrf.png,0.65
3_rgb_hist_hmrf.png,0.75
3_SWIR_hist_hmrf.png,0.6
3_TIR_a_hist_hmrf.png,0.3
4_rgb_hist_hmrf.png,0.85
4_SWIR_hist_hmrf.png,0.5
4_TIR_a_hist_hmrf.png,0.8
5_rgb_hist_hmrf.png,0.8
5_SWIR_hist_hmrf.png,1.0
5_TIR_a_hist_hmrf.png,0.7
6_rgb_hist_hmrf.png,0.75
6_SWIR_hist_hmrf.png,0.65
6_TIR_a_hist_hmrf.png,0.95
7_rgb_hist_hmrf.png,1.0
7_SWIR_hist_hmrf.png,0.95
7_TIR_a_hist_hmrf.png,1.0
8_rgb_hist_hmrf.png,0.85
8_SWIR_hist_hmrf.png,0.8
9_rgb_hist_hmrf.png,0.8
10_rgb_hist_hmrf.png,0.8
10_SWIR_hist_hmrf.png,0.65
