,score
1_rgb_hist.png,0.5
1_SWIR_hist.png,0.85
1_TIR_a_hist.png,0.65
2_rgb_hist.png,0.6
2_SWIR_hist.png,0.75
2_TIR_a_hist.png,0.9
3_rgb_hist.png,0.4
3_SWIR_hist.png,0.6
3_TIR_a_hist.png,0.4
4_rgb_hist.png,0.4
4_SWIR_hist.png,0.5
4_TIR_a_hist.png,0.45
5_rgb_hist.png,0.55
5_SWIR_hist.png,0.7
5_TIR_a_hist.png,0.45
6_rgb_hist.png,0.5
6_SWIR_hist.png,0.8
6_TIR_a_hist.png,0.7
7_rgb_hist.png,0.95
7_SWIR_hist.png,1.0
7_TIR_a_hist.png,0.95
8_rgb_hist.png,0.8
8_SWIR_hist.png,0.7
8_TIR_a_hist.png,0.8
9_rgb_hist.png,0.5
9_SWIR_hist.png,0.65
9_TIR_a_hist.png,0.75
10_rgb_hist.png,0.65
10_SWIR_hist.png,0.8
10_TIR_a_hist.png,0.7
